Energy[eV]	Img
39	8.80625e-05
39.1111	8.69246e-05
39.2222	8.56425e-05
39.3333	8.43505e-05
39.4444	8.31897e-05
39.5556	8.22493e-05
39.6667	8.13477e-05
39.7778	8.0466e-05
39.8889	7.96198e-05
40	7.88239e-05
40.1111	7.80646e-05
40.2222	7.73137e-05
40.3333	7.65701e-05
40.4444	7.58342e-05
40.5556	7.51034e-05
40.6667	7.43869e-05
40.7778	7.36757e-05
40.8889	7.29704e-05
41	7.228e-05
41.1111	7.16056e-05
41.2222	7.09535e-05
41.3333	7.03178e-05
41.4444	6.96948e-05
41.5556	6.90776e-05
41.6667	6.84616e-05
41.7778	6.7839e-05
41.8889	6.72071e-05
42	6.65578e-05
42.1111	6.58651e-05
42.2222	6.50864e-05
42.3333	6.42649e-05
42.4444	6.34008e-05
42.5556	6.25471e-05
42.6667	6.16968e-05
42.7778	6.0886e-05
42.8889	6.01297e-05
43	5.94629e-05
43.1111	5.88493e-05
43.2222	5.82591e-05
43.3333	5.76897e-05
43.4444	5.71396e-05
43.5556	5.66092e-05
43.6667	5.60968e-05
43.7778	5.56014e-05
43.8889	5.51232e-05
44	5.4661e-05
44.1111	5.42177e-05
44.2222	5.37946e-05
44.3333	5.33819e-05
44.4444	5.29804e-05
44.5556	5.25812e-05
44.6667	5.21818e-05
44.7778	5.17731e-05
44.8889	5.13526e-05
45	5.09138e-05
45.1111	5.04487e-05
45.2222	4.99524e-05
45.3333	4.94366e-05
45.4444	4.89129e-05
45.5556	4.83946e-05
45.6667	4.78756e-05
45.7778	4.73841e-05
45.8889	4.69217e-05
46	4.65014e-05
46.1111	4.61129e-05
