Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
29.1	-0.000311816
29.12	-0.0003121
29.14	-0.000312384
29.16	-0.000312669
29.18	-0.000312956
29.2	-0.000313244
29.22	-0.000313533
29.24	-0.000313824
29.26	-0.000314114
29.28	-0.000314408
29.3	-0.000314703
29.32	-0.000314996
29.34	-0.000315293
29.36	-0.00031559
29.38	-0.000315897
29.4	-0.000316194
29.42	-0.000316494
29.44	-0.000316786
29.46	-0.000317087
29.48	-0.000317388
29.5	-0.000317689
29.52	-0.000317988
29.54	-0.000318287
29.56	-0.000318583
29.58	-0.00031888
29.6	-0.000319173
29.62	-0.000319464
29.64	-0.000319754
29.66	-0.000320039
29.68	-0.000320323
29.7	-0.000320603
29.72	-0.000320879
29.74	-0.000321154
29.76	-0.000321427
29.78	-0.000321692
29.8	-0.000321957
29.82	-0.000322216
29.84	-0.000322474
29.86	-0.000322728
29.88	-0.000322976
29.9	-0.000323224
29.92	-0.000323465
29.94	-0.000323704
29.96	-0.000323939
29.98	-0.00032417
30	-0.000324399
30.02	-0.000324621
30.04	-0.000324842
30.06	-0.000325058
30.08	-0.000325265
30.1	-0.000325474
30.12	-0.000325678
30.14	-0.000321665
30.16	-0.000326086
30.18	-0.000326282
30.2	-0.000326474
30.22	-0.000326664
30.24	-0.000326851
30.26	-0.000327036
30.28	-0.000327217
30.3	-0.000327395
30.32	-0.000327573
30.34	-0.000327748
30.36	-0.00032792
30.38	-0.00032809
30.4	-0.000328261
30.42	-0.00032843
30.44	-0.000328597
30.46	-0.000328762
30.48	-0.000328927
30.5	-0.000329089
30.52	-0.000329251
30.54	-0.000329411
30.56	-0.00032957
30.58	-0.000329724
30.6	-0.000329883
30.62	-0.000330038
30.64	-0.000330191
30.66	-0.000330344
30.68	-0.000330495
30.7	-0.000330644
30.72	-0.000330793
30.74	-0.00033094
30.76	-0.000331087
30.78	-0.000331231
30.8	-0.000331376
30.82	-0.000331518
30.84	-0.000331659
30.86	-0.000331802
30.88	-0.00033194
30.9	-0.000332078
30.92	-0.000332213
30.94	-0.000332346
30.96	-0.000332478
30.98	-0.000332608
31	-0.000332736
31.02	-0.000332861
31.04	-0.000332985
31.06	-0.000333107
31.08	-0.000333226
31.1	-0.000333343
31.12	-0.000333458
31.14	-0.000333573
31.16	-0.00033368
31.18	-0.000333787
31.2	-0.000333892
31.22	-0.000333997
31.24	-0.000334095
31.26	-0.000334193
31.28	-0.000334287
31.3	-0.000334377
31.32	-0.000334467
31.34	-0.000334552
31.36	-0.000334636
31.38	-0.00033472
31.4	-0.000334798
31.42	-0.000334869
31.44	-0.000334944
31.46	-0.000335014
31.48	-0.000334716
31.5	-0.000335143
31.52	-0.000335203
31.54	-0.000335263
31.56	-0.000335318
31.58	-0.00033537
31.6	-0.000335418
31.62	-0.000335466
31.64	-0.00033551
31.66	-0.000335552
31.68	-0.000335592
31.7	-0.00033563
31.72	-0.000335663
31.74	-0.000335695
31.76	-0.000335725
31.78	-0.000335752
31.8	-0.000335777
31.82	-0.0003358
31.84	-0.000335821
31.86	-0.00033584
31.88	-0.000335855
31.9	-0.000335871
31.92	-0.000335882
31.94	-0.000335893
31.96	-0.000335903
31.98	-0.000335909
32	-0.000335915
32.02	-0.000335918
32.04	-0.00033592
32.06	-0.000335919
32.08	-0.000335917
32.1	-0.000335914
32.12	-0.000335908
32.14	-0.000335902
32.16	-0.000335891
32.18	-0.000335882
32.2	-0.000335871
32.22	-0.000335857
32.24	-0.000335842
32.26	-0.000335826
32.28	-0.000335808
32.3	-0.000335789
32.32	-0.000335766
32.34	-0.000335743
32.36	-0.000335719
32.38	-0.000335694
32.4	-0.000335666
32.42	-0.000335755
32.44	-0.000335722
32.46	-0.000335689
32.48	-0.000335539
32.5	-0.000335504
32.52	-0.000335465
32.54	-0.000335427
32.56	-0.000335387
32.58	-0.000335344
32.6	-0.000335302
32.62	-0.000335254
32.64	-0.000335209
32.66	-0.000335159
32.68	-0.000335107
32.7	-0.000335054
32.72	-0.000334999
32.74	-0.000334942
32.76	-0.000334885
32.78	-0.000334823
32.8	-0.000334763
32.82	-0.000334699
32.84	-0.000334632
32.86	-0.000334564
32.88	-0.000334492
32.9	-0.000334419
32.92	-0.000334347
32.94	-0.000334271
32.96	-0.000334194
32.98	-0.000334111
33	-0.00033403
33.02	-0.000333945
33.04	-0.00033386
33.06	-0.000333773
33.08	-0.000333682
33.1	-0.00033359
33.12	-0.000333497
33.14	-0.000333402
33.16	-0.000333304
33.18	-0.000333205
33.2	-0.000333091
33.22	-0.000332999
33.24	-0.000332897
33.26	-0.000332791
33.28	-0.00033268
33.3	-0.00033257
33.32	-0.000332459
33.34	-0.000332345
33.36	-0.000332232
33.38	-0.000331868
33.4	-0.000331997
33.42	-0.000331878
33.44	-0.000331757
33.46	-0.000331636
33.48	-0.000331511
33.5	-0.000331386
33.52	-0.000331259
33.54	-0.000331132
33.56	-0.000331003
33.58	-0.000330874
33.6	-0.000330743
33.62	-0.000330615
33.64	-0.000330483
33.66	-0.00033035
33.68	-0.000330217
33.7	-0.000330081
33.72	-0.000329947
33.74	-0.00032981
33.76	-0.000329674
33.78	-0.000329537
33.8	-0.000329399
33.82	-0.000329261
33.84	-0.000329122
33.86	-0.000328983
33.88	-0.000328844
33.9	-0.000328702
33.92	-0.000328562
33.94	-0.00032842
33.96	-0.000328279
33.98	-0.000328135
34	-0.000327993
34.02	-0.000327848
34.04	-0.000327704
34.06	-0.000327559
34.08	-0.000327413
34.1	-0.000327268
34.12	-0.000327121
34.14	-0.000326973
34.16	-0.000326824
34.18	-0.000326673
34.2	-0.000326521
34.22	-0.000326373
34.24	-0.00032622
34.26	-0.000326066
34.28	-0.000325911
34.3	-0.000325753
34.32	-0.000325597
34.34	-0.000325439
34.36	-0.00032528
34.38	-0.00032512
34.4	-0.000324958
34.42	-0.000324795
34.44	-0.000324626
34.46	-0.000325172
34.48	-0.000324284
34.5	-0.00032411
34.52	-0.000323934
34.54	-0.000323758
34.56	-0.000323579
34.58	-0.000323397
34.6	-0.000323213
34.62	-0.000323028
34.64	-0.000322842
34.66	-0.000322695
34.68	-0.000322506
34.7	-0.000322313
34.72	-0.000322119
34.74	-0.000321922
34.76	-0.000321723
34.78	-0.00032152
34.8	-0.000321315
34.82	-0.000321107
34.84	-0.000320895
34.86	-0.000320684
34.88	-0.000320463
34.9	-0.000320244
34.92	-0.000320022
34.94	-0.000319796
34.96	-0.000319569
34.98	-0.000319337
35	-0.000319102
35.02	-0.000318865
35.04	-0.000318624
35.06	-0.000318379
35.08	-0.000318131
35.1	-0.000317882
35.12	-0.000317627
35.14	-0.000317369
35.16	-0.000317109
35.18	-0.000316843
35.2	-0.000316575
35.22	-0.000316303
35.24	-0.000316029
35.26	-0.00031575
35.28	-0.000315469
35.3	-0.000315182
35.32	-0.00031489
35.34	-0.000314597
35.36	-0.000314298
35.38	-0.000313993
35.4	-0.000313687
35.42	-0.000313374
35.44	-0.000313057
35.46	-0.000312733
35.48	-0.000312406
35.5	-0.000312072
35.52	-0.000311735
35.54	-0.000311394
35.56	-0.000311046
35.58	-0.000310694
35.6	-0.000310329
35.62	-0.000309976
35.64	-0.000309607
35.66	-0.000309233
35.68	-0.000308855
35.7	-0.000308472
35.72	-0.00030808
35.74	-0.000307687
35.76	-0.000307287
35.78	-0.000306881
35.8	-0.000306469
35.82	-0.000306054
35.84	-0.000305631
35.86	-0.000305205
35.88	-0.000304773
35.9	-0.000304337
