Data table for Imaginary Im[epsilon] and real componets Re[epsilon] for Argon gas
Re and Im values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4	Im*1e4
0	-nan	735	-0.2439
0	-nan	736	-0.243538
0	-nan	737	-0.243211
0	-nan	738	-0.242818
0	-nan	739	-0.242452
0	-nan	740	-0.24208
0	-nan	741	-0.241744
0	-nan	742	-0.24147
0	-nan	743	-0.24099
0	-nan	744	-0.240679
0	-nan	745	-0.240326
0	-nan	746	-0.239979
0	-nan	747	-0.239623
0	-nan	748	-0.239274
0	-nan	749	-0.238923
0	-nan	750	-0.23857
0	-nan	751	-0.238216
0	-nan	752	-0.237821
0	-nan	753	-0.237539
0	-nan	754	-0.237195
0	-nan	755	-0.236875
0	-nan	756	-0.236509
0	-nan	757	-0.236169
0	-nan	758	-0.235835
0	-nan	759	-0.235453
0	-nan	760	-0.235188
0	-nan	761	-0.234812
0	-nan	762	-0.234478
0	-nan	763	-0.234142
0	-nan	764	-0.233801
0	-nan	765	-0.233478
0	-nan	766	-0.233006
0	-nan	767	-0.232808
0	-nan	768	-0.232476
0	-nan	769	-0.232147
0	-nan	770	-0.231819
0	-nan	771	-0.231491
0	-nan	772	-0.231164
0	-nan	773	-0.230835
0	-nan	774	-0.230512
0	-nan	775	-0.230184
0	-nan	776	-0.229864
0	-nan	777	-0.229541
0	-nan	778	-0.229219
0	-nan	779	-0.228898
0	-nan	780	-0.228575
0	-nan	781	-0.22827
0	-nan	782	-0.227869
0	-nan	783	-0.227537
0	-nan	784	-0.227305
0	-nan	785	-0.22699
0	-nan	786	-0.226674
0	-nan	787	-0.226361
0	-nan	788	-0.226047
0	-nan	789	-0.225735
0	-nan	790	-0.225424
0	-nan	791	-0.225107
0	-nan	792	-0.224795
0	-nan	793	-0.224496
0	-nan	794	-0.224184
0	-nan	795	-0.223881
0	-nan	796	-0.223549
0	-nan	797	-0.223264
0	-nan	798	-0.22296
0	-nan	799	-0.222656
0	-nan	800	-0.222655
0	-nan	801	-0.222049
0	-nan	802	-0.221746
0	-nan	803	-0.221448
0	-nan	804	-0.221146
0	-nan	805	-0.220844
0	-nan	806	-0.22055
0	-nan	807	-0.220253
0	-nan	808	-0.219953
0	-nan	809	-0.219656
0	-nan	810	-0.219361
0	-nan	811	-0.219067
0	-nan	812	-0.218769
0	-nan	813	-0.218479
0	-nan	814	-0.218187
0	-nan	815	-0.217885
0	-nan	816	-0.217567
0	-nan	817	-0.217315
0	-nan	818	-0.217025
0	-nan	819	-0.216736
0	-nan	820	-0.216448
0	-nan	821	-0.216161
0	-nan	822	-0.215876
0	-nan	823	-0.21559
0	-nan	824	-0.215304
0	-nan	825	-0.215073
0	-nan	826	-0.214738
0	-nan	827	-0.214452
0	-nan	828	-0.21417
0	-nan	829	-0.21389
0	-nan	830	-0.213607
0	-nan	831	-0.213329
0	-nan	832	-0.213048
0	-nan	833	-0.21277
0	-nan	834	-0.212493
0	-nan	835	-0.212218
0	-nan	836	-0.211942
0	-nan	837	-0.211668
0	-nan	838	-0.211392
0	-nan	839	-0.211116
0	-nan	840	-0.210843
0	-nan	841	-0.21057
0	-nan	842	-0.210312
0	-nan	843	-0.210072
0	-nan	844	-0.209756
0	-nan	845	-0.209475
0	-nan	846	-0.209211
0	-nan	847	-0.208949
0	-nan	848	-0.20868
0	-nan	849	-0.208413
0	-nan	850	-0.20815
0	-nan	851	-0.207881
0	-nan	852	-0.207615
0	-nan	853	-0.20735
0	-nan	854	-0.207087
0	-nan	855	-0.206823
0	-nan	856	-0.206561
0	-nan	857	-0.206299
0	-nan	858	-0.206037
0	-nan	859	-0.205779
0	-nan	860	-0.205516
0	-nan	861	-0.20526
0	-nan	862	-0.204999
0	-nan	863	-0.20474
