Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
533.636	-0.143515
534.545	-0.143308
535.455	-0.1431
536.364	-0.142892
537.273	-0.142683
538.182	-0.142475
539.091	-0.142265
540	-0.142056
540.909	-0.141846
541.818	-0.141636
542.727	-0.141425
543.636	-0.141214
544.545	-0.141003
545.455	-0.140792
546.364	-0.14058
547.273	-0.140368
548.182	-0.140156
549.091	-0.139943
550	-0.13973
550.909	-0.139517
551.818	-0.139304
552.727	-0.139091
553.636	-0.138877
554.545	-0.138663
555.455	-0.13845
556.364	-0.138235
557.273	-0.138021
558.182	-0.137807
559.091	-0.137592
560	-0.137378
560.909	-0.137163
561.818	-0.136948
562.727	-0.136733
563.636	-0.136518
564.545	-0.136303
565.455	-0.136088
566.364	-0.135872
567.273	-0.135657
568.182	-0.135442
569.091	-0.135226
570	-0.135011
570.909	-0.134795
571.818	-0.13458
572.727	-0.134365
573.636	-0.134149
574.545	-0.133934
575.455	-0.133718
576.364	-0.133503
577.273	-0.133287
578.182	-0.133072
579.091	-0.132856
580	-0.132641
580.909	-0.132426
581.818	-0.13221
582.727	-0.131995
583.636	-0.13178
584.545	-0.131565
585.455	-0.13135
586.364	-0.131135
587.273	-0.13092
588.182	-0.130705
589.091	-0.130491
590	-0.130276
590.909	-0.130062
591.818	-0.129847
592.727	-0.129633
593.636	-0.129419
594.545	-0.129205
595.455	-0.128991
596.364	-0.128778
597.273	-0.128564
598.182	-0.128351
599.091	-0.128137
600	-0.127924
600.909	-0.127711
601.818	-0.127499
602.727	-0.127286
603.636	-0.127074
604.545	-0.126861
605.455	-0.126649
606.364	-0.126437
607.273	-0.126225
608.182	-0.126014
609.091	-0.125802
610	-0.125591
610.909	-0.12538
611.818	-0.12517
612.727	-0.124959
613.636	-0.124749
614.545	-0.124538
615.455	-0.124328
616.364	-0.124119
617.273	-0.123909
618.182	-0.1237
619.091	-0.123491
620	-0.123282
620.909	-0.123074
621.818	-0.122865
622.727	-0.122657
623.636	-0.122449
624.545	-0.122241
625.455	-0.122034
626.364	-0.121827
627.273	-0.12162
628.182	-0.121413
629.091	-0.121207
630	-0.121001
630.909	-0.120795
631.818	-0.120589
632.727	-0.120384
633.636	-0.120179
634.545	-0.119974
635.455	-0.11977
636.364	-0.119565
637.273	-0.119361
638.182	-0.119158
639.091	-0.118954
640	-0.118751
640.909	-0.118548
641.818	-0.118345
642.727	-0.118143
643.636	-0.117941
644.545	-0.117739
645.455	-0.117538
646.364	-0.117337
647.273	-0.117136
648.182	-0.116935
649.091	-0.116735
650	-0.116535
650.909	-0.116335
651.818	-0.116136
652.727	-0.115937
653.636	-0.115738
654.545	-0.115539
655.455	-0.115341
656.364	-0.115143
657.273	-0.114946
658.182	-0.114748
659.091	-0.114551
660	-0.114355
660.909	-0.114158
661.818	-0.113962
662.727	-0.113766
663.636	-0.113571
664.545	-0.113376
665.455	-0.113181
666.364	-0.112987
667.273	-0.112793
668.182	-0.112599
669.091	-0.112405
670	-0.112212
670.909	-0.112019
671.818	-0.111827
672.727	-0.111634
673.636	-0.111442
674.545	-0.111251
675.455	-0.11106
676.364	-0.110869
677.273	-0.110678
678.182	-0.110488
679.091	-0.110298
680	-0.110108
680.909	-0.109919
681.818	-0.10973
682.727	-0.109541
683.636	-0.109353
684.545	-0.109165
685.455	-0.108977
686.364	-0.10879
687.273	-0.108603
688.182	-0.108416
689.091	-0.10823
690	-0.108044
690.909	-0.107858
691.818	-0.107673
692.727	-0.107488
693.636	-0.107303
694.545	-0.107119
695.455	-0.106935
696.364	-0.106751
697.273	-0.106568
698.182	-0.106385
699.091	-0.106202
700	-0.10602
700.909	-0.105838
701.818	-0.105656
702.727	-0.105474
703.636	-0.105293
704.545	-0.105113
705.455	-0.104932
706.364	-0.104752
707.273	-0.104573
708.182	-0.104393
709.091	-0.104214
710	-0.104036
710.909	-0.103857
711.818	-0.103679
712.727	-0.103502
713.636	-0.103325
714.545	-0.103148
715.455	-0.102971
716.364	-0.102795
717.273	-0.102619
718.182	-0.102443
719.091	-0.102268
720	-0.102093
720.909	-0.101918
721.818	-0.101744
722.727	-0.10157
723.636	-0.101396
724.545	-0.101223
725.455	-0.10105
726.364	-0.100877
727.273	-0.100705
728.182	-0.100533
729.091	-0.100361
730	-0.10019
730.909	-0.100019
731.818	-0.0998357
732.727	-0.0996655
733.636	-0.0994955
734.545	-0.0993259
735.455	-0.0991567
736.364	-0.0989877
737.273	-0.0988191
